blue,green,red,label
225,238,236,0
208,228,221,100
203,217,211,200
196,207,198,300
188,199,190,400
174,178,165,500
170,176,157,600
165,167,149,700
161,163,145,800
155,155,129,900
146,142,117,1000
230,239,238,0
207,220,218,100
192,202,197,200
198,208,203,300
186,197,188,400
164,170,162,500
155,159,146,600
162,164,146,700
152,155,134,800
145,142,125,900
135,133,112,1000
225,234,233,0
195,209,203,100
164,175,166,200
154,165,156,300
152,162,143,400
139,143,119,500
136,137,105,600
130,128,107,700
108,98,78,800
109,93,74,900
108,98,78,1000
