blue,green,red,label
185,196,198,0
177,187,182,200
137,141,129,400
121,123,105,600
106,98,72,800
89,70,47,1000
185,196,198,0
177,187,182,200
137,141,129,400
121,123,105,600
106,98,72,800
89,70,47,1000
185,196,198,0
177,187,182,200
137,141,129,400
121,123,105,600
106,98,72,800
89,70,47,1000
185,196,198,0
177,187,182,200
137,141,129,400
121,123,105,600
106,98,72,800
89,70,47,1000
185,196,198,0
177,187,182,200
137,141,129,400
121,123,105,600
106,98,72,800
89,70,47,1000
185,196,198,0
177,187,182,200
137,141,129,400
121,123,105,600
106,98,72,800
89,70,47,1000
185,196,198,0
177,187,182,200
137,141,129,400
121,123,105,600
106,98,72,800
89,70,47,1000
185,196,198,0
177,187,182,200
137,141,129,400
121,123,105,600
106,98,72,800
89,70,47,1000
185,196,198,0
177,187,182,200
137,141,129,400
121,123,105,600
106,98,72,800
89,70,47,1000
185,196,198,0
177,187,182,200
137,141,129,400
121,123,105,600
106,98,72,800
89,70,47,1000
185,196,198,0
177,187,182,200
137,141,129,400
121,123,105,600
106,98,72,800
89,70,47,1000
185,196,198,0
177,187,182,200
137,141,129,400
121,123,105,600
106,98,72,800
89,70,47,1000
185,196,198,0
177,187,182,200
137,141,129,400
121,123,105,600
106,98,72,800
89,70,47,1000
185,196,198,0
177,187,182,200
137,141,129,400
121,123,105,600
106,98,72,800
89,70,47,1000
185,196,198,0
177,187,182,200
137,141,129,400
121,123,105,600
106,98,72,800
89,70,47,1000
185,196,198,0
177,187,182,200
137,141,129,400
121,123,105,600
106,98,72,800
89,70,47,1000
185,196,198,0
177,187,182,200
137,141,129,400
121,123,105,600
106,98,72,800
89,70,47,1000
