blue,green,red,label
225,238,236,0
208,228,221,100
203,217,211,200
196,207,198,300
188,199,190,400
174,178,165,500
170,176,157,600
165,167,149,700
161,163,145,800
155,155,129,900
146,142,117,1000
225,238,236,0
208,228,221,100
203,217,211,200
196,207,198,300
188,199,190,400
174,178,165,500
170,176,157,600
165,167,149,700
161,163,145,800
155,155,129,900
146,142,117,1000
225,238,236,0
208,228,221,100
203,217,211,200
196,207,198,300
188,199,190,400
174,178,165,500
170,176,157,600
165,167,149,700
161,163,145,800
155,155,129,900
146,142,117,1000
225,238,236,0
208,228,221,100
203,217,211,200
196,207,198,300
188,199,190,400
174,178,165,500
170,176,157,600
165,167,149,700
161,163,145,800
155,155,129,900
146,142,117,1000
225,238,236,0
208,228,221,100
203,217,211,200
196,207,198,300
188,199,190,400
174,178,165,500
170,176,157,600
165,167,149,700
161,163,145,800
155,155,129,900
146,142,117,1000
225,238,236,0
208,228,221,100
203,217,211,200
196,207,198,300
188,199,190,400
174,178,165,500
170,176,157,600
165,167,149,700
161,163,145,800
155,155,129,900
146,142,117,1000
225,238,236,0
208,228,221,100
203,217,211,200
196,207,198,300
188,199,190,400
174,178,165,500
170,176,157,600
165,167,149,700
161,163,145,800
155,155,129,900
146,142,117,1000
225,238,236,0
208,228,221,100
203,217,211,200
196,207,198,300
188,199,190,400
174,178,165,500
170,176,157,600
165,167,149,700
161,163,145,800
155,155,129,900
146,142,117,1000
225,238,236,0
208,228,221,100
203,217,211,200
196,207,198,300
188,199,190,400
174,178,165,500
170,176,157,600
165,167,149,700
161,163,145,800
155,155,129,900
146,142,117,1000
225,238,236,0
208,228,221,100
203,217,211,200
196,207,198,300
188,199,190,400
174,178,165,500
170,176,157,600
165,167,149,700
161,163,145,800
155,155,129,900
146,142,117,1000
225,238,236,0
208,228,221,100
203,217,211,200
196,207,198,300
188,199,190,400
174,178,165,500
170,176,157,600
165,167,149,700
161,163,145,800
155,155,129,900
146,142,117,1000
225,238,236,0
208,228,221,100
203,217,211,200
196,207,198,300
188,199,190,400
174,178,165,500
170,176,157,600
165,167,149,700
161,163,145,800
155,155,129,900
146,142,117,1000
225,238,236,0
208,228,221,100
203,217,211,200
196,207,198,300
188,199,190,400
174,178,165,500
170,176,157,600
165,167,149,700
161,163,145,800
155,155,129,900
146,142,117,1000
225,238,236,0
208,228,221,100
203,217,211,200
196,207,198,300
188,199,190,400
174,178,165,500
170,176,157,600
165,167,149,700
161,163,145,800
155,155,129,900
146,142,117,1000
225,238,236,0
208,228,221,100
203,217,211,200
196,207,198,300
188,199,190,400
174,178,165,500
170,176,157,600
165,167,149,700
161,163,145,800
155,155,129,900
146,142,117,1000
225,238,236,0
208,228,221,100
203,217,211,200
196,207,198,300
188,199,190,400
174,178,165,500
170,176,157,600
165,167,149,700
161,163,145,800
155,155,129,900
146,142,117,1000
225,238,236,0
208,228,221,100
203,217,211,200
196,207,198,300
188,199,190,400
174,178,165,500
170,176,157,600
165,167,149,700
161,163,145,800
155,155,129,900
146,142,117,1000
225,238,236,0
208,228,221,100
203,217,211,200
196,207,198,300
188,199,190,400
174,178,165,500
170,176,157,600
165,167,149,700
161,163,145,800
155,155,129,900
146,142,117,1000
