blue,green,red,label
225,234,233,0
195,209,203,100
164,175,166,200
154,165,156,300
152,162,143,400
139,143,119,500
136,137,105,600
130,128,107,700
108,98,78,800
109,93,74,900
108,98,78,1000
225,234,233,0
195,209,203,100
164,175,166,200
154,165,156,300
152,162,143,400
139,143,119,500
136,137,105,600
130,128,107,700
108,98,78,800
109,93,74,900
108,98,78,1000
225,234,233,0
195,209,203,100
164,175,166,200
154,165,156,300
152,162,143,400
139,143,119,500
136,137,105,600
130,128,107,700
108,98,78,800
109,93,74,900
108,98,78,1000
225,234,233,0
195,209,203,100
164,175,166,200
154,165,156,300
152,162,143,400
139,143,119,500
136,137,105,600
130,128,107,700
108,98,78,800
109,93,74,900
108,98,78,1000
225,234,233,0
195,209,203,100
164,175,166,200
154,165,156,300
152,162,143,400
139,143,119,500
136,137,105,600
130,128,107,700
108,98,78,800
109,93,74,900
108,98,78,1000
225,234,233,0
195,209,203,100
164,175,166,200
154,165,156,300
152,162,143,400
139,143,119,500
136,137,105,600
130,128,107,700
108,98,78,800
109,93,74,900
108,98,78,1000
225,234,233,0
195,209,203,100
164,175,166,200
154,165,156,300
152,162,143,400
139,143,119,500
136,137,105,600
130,128,107,700
108,98,78,800
109,93,74,900
108,98,78,1000
225,234,233,0
195,209,203,100
164,175,166,200
154,165,156,300
152,162,143,400
139,143,119,500
136,137,105,600
130,128,107,700
108,98,78,800
109,93,74,900
108,98,78,1000
225,234,233,0
195,209,203,100
164,175,166,200
154,165,156,300
152,162,143,400
139,143,119,500
136,137,105,600
130,128,107,700
108,98,78,800
109,93,74,900
108,98,78,1000
