blue,green,red,label
225,234,233,0
195,209,203,10
164,175,166,20
154,165,156,30
152,162,143,40
139,143,119,50
136,137,105,60
130,128,107,70
108,98,78,80
109,93,74,90
108,98,78,100
225,234,233,0
195,209,203,10
164,175,166,20
154,165,156,30
152,162,143,40
139,143,119,50
136,137,105,60
130,128,107,70
108,98,78,80
109,93,74,90
108,98,78,100
225,234,233,0
195,209,203,10
164,175,166,20
154,165,156,30
152,162,143,40
139,143,119,50
136,137,105,60
130,128,107,70
108,98,78,80
109,93,74,90
108,98,78,100
225,234,233,0
195,209,203,10
164,175,166,20
154,165,156,30
152,162,143,40
139,143,119,50
136,137,105,60
130,128,107,70
108,98,78,80
109,93,74,90
108,98,78,100
225,234,233,0
195,209,203,10
164,175,166,20
154,165,156,30
152,162,143,40
139,143,119,50
136,137,105,60
130,128,107,70
108,98,78,80
109,93,74,90
108,98,78,100
225,234,233,0
195,209,203,10
164,175,166,20
154,165,156,30
152,162,143,40
139,143,119,50
136,137,105,60
130,128,107,70
108,98,78,80
109,93,74,90
108,98,78,100
225,234,233,0
195,209,203,10
164,175,166,20
154,165,156,30
152,162,143,40
139,143,119,50
136,137,105,60
130,128,107,70
108,98,78,80
109,93,74,90
108,98,78,100
225,234,233,0
195,209,203,10
164,175,166,20
154,165,156,30
152,162,143,40
139,143,119,50
136,137,105,60
130,128,107,70
108,98,78,80
109,93,74,90
108,98,78,100
225,234,233,0
195,209,203,10
164,175,166,20
154,165,156,30
152,162,143,40
139,143,119,50
136,137,105,60
130,128,107,70
108,98,78,80
109,93,74,90
108,98,78,100
225,234,233,0
195,209,203,10
164,175,166,20
154,165,156,30
152,162,143,40
139,143,119,50
136,137,105,60
130,128,107,70
108,98,78,80
109,93,74,90
108,98,78,100
225,234,233,0
195,209,203,10
164,175,166,20
154,165,156,30
152,162,143,40
139,143,119,50
136,137,105,60
130,128,107,70
108,98,78,80
109,93,74,90
108,98,78,100
225,234,233,0
195,209,203,10
164,175,166,20
154,165,156,30
152,162,143,40
139,143,119,50
136,137,105,60
130,128,107,70
108,98,78,80
109,93,74,90
108,98,78,100
225,234,233,0
195,209,203,10
164,175,166,20
154,165,156,30
152,162,143,40
139,143,119,50
136,137,105,60
130,128,107,70
108,98,78,80
109,93,74,90
108,98,78,100
225,234,233,0
195,209,203,10
164,175,166,20
154,165,156,30
152,162,143,40
139,143,119,50
136,137,105,60
130,128,107,70
108,98,78,80
109,93,74,90
108,98,78,100
225,234,233,0
195,209,203,10
164,175,166,20
154,165,156,30
152,162,143,40
139,143,119,50
136,137,105,60
130,128,107,70
108,98,78,80
109,93,74,90
108,98,78,100
225,234,233,0
195,209,203,10
164,175,166,20
154,165,156,30
152,162,143,40
139,143,119,50
136,137,105,60
130,128,107,70
108,98,78,80
109,93,74,90
108,98,78,100
225,234,233,0
195,209,203,10
164,175,166,20
154,165,156,30
152,162,143,40
139,143,119,50
136,137,105,60
130,128,107,70
108,98,78,80
109,93,74,90
108,98,78,100
225,234,233,0
195,209,203,10
164,175,166,20
154,165,156,30
152,162,143,40
139,143,119,50
136,137,105,60
130,128,107,70
108,98,78,80
109,93,74,90
108,98,78,100
